transactionId,senderAccountId,receiverAccountId,amount,type,timestamp,status,fraudFlag,latitude,longitude,deviceUsed,networkSliceId,latency,bandwidth,pinCode
TXN001,ACC001,ACC002,1500.50,TRANSFER,2024-01-15T10:30:00,COMPLETED,false,40.7128,-74.0060,Mobile App,NS001,50,100,10001
TXN002,ACC003,ACC004,750.25,PAYMENT,2024-01-15T11:15:00,COMPLETED,false,34.0522,-118.2437,Web Browser,NS002,30,150,90210
TXN003,ACC005,ACC006,2500.00,TRANSFER,2024-01-15T12:00:00,FAILED,true,41.8781,-87.6298,ATM,NS003,100,50,60601
TXN004,ACC007,ACC008,500.75,PAYMENT,2024-01-15T13:45:00,COMPLETED,false,29.7604,-95.3698,Mobile App,NS001,45,120,77001
TXN005,ACC009,ACC010,1200.00,TRANSFER,2024-01-15T14:20:00,COMPLETED,false,33.7490,-84.3880,Web Browser,NS002,35,140,30301
TXN006,ACC011,ACC012,3000.50,PAYMENT,2024-01-15T15:10:00,COMPLETED,false,32.7767,-96.7970,ATM,NS003,80,60,75201
TXN007,ACC013,ACC014,800.25,TRANSFER,2024-01-15T16:30:00,FAILED,true,39.9526,-75.1652,Mobile App,NS001,55,110,19101
TXN008,ACC015,ACC016,950.00,PAYMENT,2024-01-15T17:00:00,COMPLETED,false,37.7749,-122.4194,Web Browser,NS002,40,130,94101
TXN009,ACC017,ACC018,1800.75,TRANSFER,2024-01-15T18:15:00,COMPLETED,false,25.7617,-80.1918,ATM,NS003,90,70,33101
TXN010,ACC019,ACC020,650.50,PAYMENT,2024-01-15T19:30:00,COMPLETED,false,47.6062,-122.3321,Mobile App,NS001,50,100,98101 
